gen 1,gen 2,gen 3,gen 4,gen 5,gen 6,gen 7,gen 8,gen 9,gen 10,csp generation,discharge,charge,Demands
56.2723350257518,56.2723350257518,56.2723350257518,56.2723350257518,56.2723350257518,56.2723350257518,56.2723350257518,56.2723350257518,56.2723350257518,56.2723350257518,0,475.000000000003,0,1037.72335025752
127.590819348882,127.590819348882,127.590819348882,127.590819348882,127.590819348882,127.590819348882,127.590819348882,127.590819348882,127.590819348882,127.590819348882,0,0,475.000000000003,800.908193488815
122.511457612592,122.511457612592,122.511457612592,122.511457612592,122.511457612592,122.511457612592,122.511457612592,122.511457612592,122.511457612592,122.511457612592,0,0,475.000000000003,750.114576125922
118.411934709214,118.411934709214,118.411934709214,118.411934709214,118.411934709214,118.411934709214,118.411934709214,118.411934709214,118.411934709214,118.411934709214,0,0,475.000000000003,709.119347092137
124.323643504909,124.323643504909,124.323643504909,124.323643504909,124.323643504909,124.323643504909,124.323643504909,124.323643504909,124.323643504909,124.323643504909,0,0,475.000000000003,768.23643504909
152.129045159021,152.129045159021,152.129045159021,152.129045159021,152.129045159021,152.129045159021,152.129045159021,152.129045159021,152.129045159021,152.129045159021,0,0,475.000000000003,1046.2904515902
213.198228634635,213.198228634635,213.198228634635,213.198228634635,213.198228634635,213.198228634635,213.198228634635,213.198228634635,213.198228634635,213.198228634635,0,172.648613327023,0,2304.63089967337
213.335229772498,213.335229772498,213.335229772498,213.335229772498,213.335229772498,213.335229772498,213.335229772498,213.335229772498,213.335229772498,213.335229772498,0,22.4647136428844,0,2155.81701136787
203.72618155142,203.72618155142,203.72618155142,203.72618155142,203.72618155142,203.72618155142,203.72618155142,203.72618155142,203.72618155142,203.72618155142,0,0,0,2037.2618155142
176.637323740127,176.637323740127,176.637323740127,176.637323740127,176.637323740127,176.637323740127,176.637323740127,176.637323740127,176.637323740127,176.637323740127,0,0,0,1766.37323740127
188.129856905358,188.129856905358,188.129856905358,188.129856905358,188.129856905358,188.129856905358,188.129856905358,188.129856905358,188.129856905358,188.129856905358,0,0,0,1881.29856905358
163.08539029043,163.08539029043,163.08539029043,163.08539029043,163.08539029043,163.08539029043,163.08539029043,163.08539029043,163.08539029043,163.08539029043,0,0,0,1630.8539029043
159.056317352262,159.056317352262,159.056317352262,159.056317352262,159.056317352262,159.056317352262,159.056317352262,159.056317352262,159.056317352262,159.056317352262,0,0,22.4267788893252,1568.13639463329
159.160813840566,159.160813840566,159.160813840566,159.160813840566,159.160813840566,159.160813840566,159.160813840566,159.160813840566,159.160813840566,159.160813840566,0,0,86.4760207540428,1505.13211765162
159.265373064405,159.265373064405,159.265373064405,159.265373064405,159.265373064405,159.265373064405,159.265373064405,159.265373064405,159.265373064405,159.265373064405,0,0,173.148297497817,1419.50543314623
159.369995061442,159.369995061442,159.369995061442,159.369995061442,159.369995061442,159.369995061442,159.369995061442,159.369995061442,159.369995061442,159.369995061442,0,0,115.602412410534,1478.09753820388
190.290192482913,190.290192482913,190.290192482913,190.290192482913,190.290192482913,190.290192482913,190.290192482913,190.290192482913,190.290192482913,190.290192482913,0,0,0,1902.90192482913
223.803077727811,223.803077727811,223.803077727811,223.803077727811,223.803077727811,223.803077727811,223.803077727811,223.803077727811,223.803077727811,223.803077727811,0,241.395352145628,0,2479.42612942374
256.707374012245,256.707374012245,256.707374012245,256.707374012245,256.707374012245,256.707374012245,256.707374012245,256.707374012245,256.707374012245,256.707374012245,0,475.000000000003,0,3042.07374012245
235.800923994441,235.800923994441,235.800923994441,235.800923994441,235.800923994441,235.800923994441,235.800923994441,235.800923994441,235.800923994441,235.800923994441,0,475.000000000003,0,2833.00923994441
228.911498408029,228.911498408029,228.911498408029,228.911498408029,228.911498408029,228.911498408029,228.911498408029,228.911498408029,228.911498408029,228.911498408029,0,475.000000000003,0,2764.11498408029
224.377065838152,224.377065838152,224.377065838152,224.377065838152,224.377065838152,224.377065838152,224.377065838152,224.377065838152,224.377065838152,224.377065838152,0,211.698013488412,0,2455.46867186993
193.371122374142,193.371122374142,193.371122374142,193.371122374142,193.371122374142,193.371122374142,193.371122374142,193.371122374142,193.371122374142,193.371122374142,0,0,0,1933.71122374142
167.145078559038,167.145078559038,167.145078559038,167.145078559038,167.145078559038,167.145078559038,167.145078559038,167.145078559038,167.145078559038,167.145078559038,0,0,279.689723237513,1391.76106235287
146.697656002432,146.697656002432,146.697656002432,146.697656002432,146.697656002432,146.697656002432,146.697656002432,146.697656002432,146.697656002432,146.697656002432,0,0,475.000000000003,991.976560024316
127.621018025238,127.621018025238,127.621018025238,127.621018025238,127.621018025238,127.621018025238,127.621018025238,127.621018025238,127.621018025238,127.621018025238,0,0,475.000000000003,801.210180252379
128.736594773706,128.736594773706,128.736594773706,128.736594773706,128.736594773706,128.736594773706,128.736594773706,128.736594773706,128.736594773706,128.736594773706,0,0,475.000000000003,812.365947737056
167.582883257556,167.582883257556,167.582883257556,167.582883257556,167.582883257556,167.582883257556,167.582883257556,167.582883257556,167.582883257556,167.582883257556,0,0,451.507799758772,1224.32103281679
167.69249875681,167.69249875681,167.69249875681,167.69249875681,167.69249875681,167.69249875681,167.69249875681,167.69249875681,167.69249875681,167.69249875681,0,0,22.5755440673266,1654.34944350078
221.159598048609,221.159598048609,221.159598048609,221.159598048609,221.159598048609,221.159598048609,221.159598048609,221.159598048609,221.159598048609,221.159598048609,0,0,0,2211.59598048609
367.291851564127,367.291851564127,367.291851564127,367.291851564127,367.291851564127,367.291851564127,367.291851564127,367.291851564127,367.291851564127,367.291851564127,0,475.000000000003,0,4147.91851564127
300.364045873452,300.364045873452,300.364045873452,300.364045873452,300.364045873452,300.364045873452,300.364045873452,300.364045873452,300.364045873452,300.364045873452,0,475.000000000003,0,3478.64045873452
225.962656890636,225.962656890636,225.962656890636,225.962656890636,225.962656890636,225.962656890636,225.962656890636,225.962656890636,225.962656890636,225.962656890636,0,438.501049344833,0,2698.12761825119
168.241564175388,168.241564175388,168.241564175388,168.241564175388,168.241564175388,168.241564175388,168.241564175388,168.241564175388,168.241564175388,168.241564175388,0,0,20.6982468449887,1661.7173949089
168.351575120461,168.351575120461,168.351575120461,168.351575120461,168.351575120461,168.351575120461,168.351575120461,168.351575120461,168.351575120461,168.351575120461,0,0,33.637627082722,1649.87812412189
168.461652111728,168.461652111728,168.461652111728,168.461652111728,168.461652111728,168.461652111728,168.461652111728,168.461652111728,168.461652111728,168.461652111728,0,0,207.322987903988,1477.29353321329
168.571795188841,168.571795188841,168.571795188841,168.571795188841,168.571795188841,168.571795188841,168.571795188841,168.571795188841,168.571795188841,168.571795188841,0,0,333.047144814762,1352.67080707365
168.682004391476,168.682004391476,168.682004391476,168.682004391476,168.682004391476,168.682004391476,168.682004391476,168.682004391476,168.682004391476,168.682004391476,0,0,384.098365983935,1302.72167793083
168.792279759332,168.792279759332,168.792279759332,168.792279759332,168.792279759332,168.792279759332,168.792279759332,168.792279759332,168.792279759332,168.792279759332,0,0,313.717218581182,1374.20557901213
168.902621332131,168.902621332131,168.902621332131,168.902621332131,168.902621332131,168.902621332131,168.902621332131,168.902621332131,168.902621332131,168.902621332131,0,0,286.088720098695,1402.93749322261
181.632598837925,181.632598837925,181.632598837925,181.632598837925,181.632598837925,181.632598837925,181.632598837925,181.632598837925,181.632598837925,181.632598837925,0,0,0,1816.32598837925
227.267767436279,227.267767436279,227.267767436279,227.267767436279,227.267767436279,227.267767436279,227.267767436279,227.267767436279,227.267767436279,227.267767436279,0,132.576336818658,0,2405.25401118144
