# Renewables.ninja Solar PV (Point API) - 41.312, -72.097 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/New_York, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/New_York", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "41.31241611386718", "lon": "-72.09741246030026", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "45", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2018-12-31 19:00,0,0,0,3.487
2019-01-01 01:00,2018-12-31 20:00,0,0,0,3.486
2019-01-01 02:00,2018-12-31 21:00,0,0,0,3.988
2019-01-01 03:00,2018-12-31 22:00,0,0,0,4.505
2019-01-01 04:00,2018-12-31 23:00,0,0,0,5.049
2019-01-01 05:00,2019-01-01 00:00,0,0,0,5.883
2019-01-01 06:00,2019-01-01 01:00,0,0,0,6.983
2019-01-01 07:00,2019-01-01 02:00,0,0,0,7.938
2019-01-01 08:00,2019-01-01 03:00,0,0,0,8.538
2019-01-01 09:00,2019-01-01 04:00,0,0,0,8.900
2019-01-01 10:00,2019-01-01 05:00,0,0,0,9.288
2019-01-01 11:00,2019-01-01 06:00,0,0,0,9.761
2019-01-01 12:00,2019-01-01 07:00,0.005,0.005,0.011,10.196
2019-01-01 13:00,2019-01-01 08:00,0.079,0.033,0.067,10.749
2019-01-01 14:00,2019-01-01 09:00,0.126,0.042,0.109,11.220
2019-01-01 15:00,2019-01-01 10:00,0.172,0.058,0.142,11.208
2019-01-01 16:00,2019-01-01 11:00,0.289,0.153,0.174,10.473
2019-01-01 17:00,2019-01-01 12:00,0.517,0.446,0.143,9.149
2019-01-01 18:00,2019-01-01 13:00,0.619,0.622,0.092,8.147
2019-01-01 19:00,2019-01-01 14:00,0.479,0.463,0.075,7.307
2019-01-01 20:00,2019-01-01 15:00,0.224,0.200,0.050,6.189
2019-01-01 21:00,2019-01-01 16:00,0.002,0.006,0.004,4.899
2019-01-01 22:00,2019-01-01 17:00,0,0,0,4.016
2019-01-01 23:00,2019-01-01 18:00,0,0,0,3.406
2019-01-02 00:00,2019-01-01 19:00,0,0,0,2.912
2019-01-02 01:00,2019-01-01 20:00,0,0,0,2.424
2019-01-02 02:00,2019-01-01 21:00,0,0,0,1.841
2019-01-02 03:00,2019-01-01 22:00,0,0,0,1.173
2019-01-02 04:00,2019-01-01 23:00,0,0,0,0.545
2019-01-02 05:00,2019-01-02 00:00,0,0,0,0.048
2019-01-02 06:00,2019-01-02 01:00,0,0,0,-0.552
2019-01-02 07:00,2019-01-02 02:00,0,0,0,-0.876
2019-01-02 08:00,2019-01-02 03:00,0,0,0,-1.148
2019-01-02 09:00,2019-01-02 04:00,0,0,0,-1.414
2019-01-02 10:00,2019-01-02 05:00,0,0,0,-1.674
2019-01-02 11:00,2019-01-02 06:00,0,0,0,-1.885
2019-01-02 12:00,2019-01-02 07:00,0.077,0.078,0.016,-1.865
2019-01-02 13:00,2019-01-02 08:00,0.406,0.382,0.053,-0.812
2019-01-02 14:00,2019-01-02 09:00,0.599,0.590,0.070,0.079
2019-01-02 15:00,2019-01-02 10:00,0.670,0.662,0.089,0.917
2019-01-02 16:00,2019-01-02 11:00,0.692,0.681,0.101,1.625
2019-01-02 17:00,2019-01-02 12:00,0.638,0.605,0.111,2.153
2019-01-02 18:00,2019-01-02 13:00,0.428,0.338,0.128,2.252
2019-01-02 19:00,2019-01-02 14:00,0.209,0.125,0.105,1.983
2019-01-02 20:00,2019-01-02 15:00,0.071,0.040,0.049,1.279
2019-01-02 21:00,2019-01-02 16:00,0,0.002,0.003,0.121
2019-01-02 22:00,2019-01-02 17:00,0,0,0,-0.395
2019-01-02 23:00,2019-01-02 18:00,0,0,0,-0.341
2019-01-03 00:00,2019-01-02 19:00,0,0,0,-0.113
2019-01-03 01:00,2019-01-02 20:00,0,0,0,0.199
2019-01-03 02:00,2019-01-02 21:00,0,0,0,0.441
2019-01-03 03:00,2019-01-02 22:00,0,0,0,0.826
2019-01-03 04:00,2019-01-02 23:00,0,0,0,1.392
2019-01-03 05:00,2019-01-03 00:00,0,0,0,1.832
2019-01-03 06:00,2019-01-03 01:00,0,0,0,2.170
2019-01-03 07:00,2019-01-03 02:00,0,0,0,2.288
2019-01-03 08:00,2019-01-03 03:00,0,0,0,2.397
2019-01-03 09:00,2019-01-03 04:00,0,0,0,2.749
2019-01-03 10:00,2019-01-03 05:00,0,0,0,3.144
2019-01-03 11:00,2019-01-03 06:00,0,0,0,3.363
2019-01-03 12:00,2019-01-03 07:00,0,0,0.002,3.821
2019-01-03 13:00,2019-01-03 08:00,0.007,0.001,0.016,4.474
2019-01-03 14:00,2019-01-03 09:00,0.053,0.007,0.064,4.989
2019-01-03 15:00,2019-01-03 10:00,0.215,0.083,0.157,5.430
2019-01-03 16:00,2019-01-03 11:00,0.451,0.333,0.167,5.622
2019-01-03 17:00,2019-01-03 12:00,0.644,0.618,0.119,5.724
2019-01-03 18:00,2019-01-03 13:00,0.608,0.593,0.098,5.659
2019-01-03 19:00,2019-01-03 14:00,0.443,0.404,0.086,5.308
2019-01-03 20:00,2019-01-03 15:00,0.166,0.132,0.056,4.467
2019-01-03 21:00,2019-01-03 16:00,0.001,0.004,0.004,3.204
2019-01-03 22:00,2019-01-03 17:00,0,0,0,2.576
2019-01-03 23:00,2019-01-03 18:00,0,0,0,1.969
2019-01-04 00:00,2019-01-03 19:00,0,0,0,1.297
2019-01-04 01:00,2019-01-03 20:00,0,0,0,0.794
2019-01-04 02:00,2019-01-03 21:00,0,0,0,0.280
2019-01-04 03:00,2019-01-03 22:00,0,0,0,-0.072
2019-01-04 04:00,2019-01-03 23:00,0,0,0,-0.152
2019-01-04 05:00,2019-01-04 00:00,0,0,0,-0.193
2019-01-04 06:00,2019-01-04 01:00,0,0,0,-0.123
2019-01-04 07:00,2019-01-04 02:00,0,0,0,0.003
2019-01-04 08:00,2019-01-04 03:00,0,0,0,0.332
2019-01-04 09:00,2019-01-04 04:00,0,0,0,0.637
2019-01-04 10:00,2019-01-04 05:00,0,0,0,0.528
2019-01-04 11:00,2019-01-04 06:00,0,0,0,0.313
2019-01-04 12:00,2019-01-04 07:00,0.073,0.074,0.017,0.735
2019-01-04 13:00,2019-01-04 08:00,0.354,0.325,0.060,2.402
2019-01-04 14:00,2019-01-04 09:00,0.548,0.530,0.079,3.538
2019-01-04 15:00,2019-01-04 10:00,0.639,0.629,0.095,4.333
2019-01-04 16:00,2019-01-04 11:00,0.641,0.620,0.111,4.990
2019-01-04 17:00,2019-01-04 12:00,0.624,0.599,0.111,5.534
2019-01-04 18:00,2019-01-04 13:00,0.538,0.499,0.106,5.831
2019-01-04 19:00,2019-01-04 14:00,0.306,0.237,0.101,5.694
2019-01-04 20:00,2019-01-04 15:00,0.080,0.048,0.051,5.028
2019-01-04 21:00,2019-01-04 16:00,0,0.002,0.003,4.203
2019-01-04 22:00,2019-01-04 17:00,0,0,0,4.195
2019-01-04 23:00,2019-01-04 18:00,0,0,0,4.257
2019-01-05 00:00,2019-01-04 19:00,0,0,0,4.215
2019-01-05 01:00,2019-01-04 20:00,0,0,0,4.198
2019-01-05 02:00,2019-01-04 21:00,0,0,0,4.214
2019-01-05 03:00,2019-01-04 22:00,0,0,0,4.349
2019-01-05 04:00,2019-01-04 23:00,0,0,0,4.439
2019-01-05 05:00,2019-01-05 00:00,0,0,0,4.400
2019-01-05 06:00,2019-01-05 01:00,0,0,0,4.509
2019-01-05 07:00,2019-01-05 02:00,0,0,0,4.609
2019-01-05 08:00,2019-01-05 03:00,0,0,0,4.655
2019-01-05 09:00,2019-01-05 04:00,0,0,0,4.824
2019-01-05 10:00,2019-01-05 05:00,0,0,0,5.305
2019-01-05 11:00,2019-01-05 06:00,0,0,0,5.711
2019-01-05 12:00,2019-01-05 07:00,0,0,0.005,5.836
2019-01-05 13:00,2019-01-05 08:00,0.010,0.001,0.021,5.975
2019-01-05 14:00,2019-01-05 09:00,0.036,0.002,0.050,6.012
2019-01-05 15:00,2019-01-05 10:00,0.073,0.005,0.088,5.984
2019-01-05 16:00,2019-01-05 11:00,0.068,0.004,0.083,6.132
2019-01-05 17:00,2019-01-05 12:00,0.050,0.002,0.065,6.033
2019-01-05 18:00,2019-01-05 13:00,0.034,0.002,0.049,5.669
2019-01-05 19:00,2019-01-05 14:00,0.022,0.001,0.035,5.269
2019-01-05 20:00,2019-01-05 15:00,0.002,0,0.009,4.868
2019-01-05 21:00,2019-01-05 16:00,0,0,0,4.156
2019-01-05 22:00,2019-01-05 17:00,0,0,0,3.509
2019-01-05 23:00,2019-01-05 18:00,0,0,0,2.963
2019-01-06 00:00,2019-01-05 19:00,0,0,0,2.897
2019-01-06 01:00,2019-01-05 20:00,0,0,0,2.901
2019-01-06 02:00,2019-01-05 21:00,0,0,0,2.699
2019-01-06 03:00,2019-01-05 22:00,0,0,0,2.503
2019-01-06 04:00,2019-01-05 23:00,0,0,0,2.301
2019-01-06 05:00,2019-01-06 00:00,0,0,0,2.127
2019-01-06 06:00,2019-01-06 01:00,0,0,0,1.932
2019-01-06 07:00,2019-01-06 02:00,0,0,0,1.721
2019-01-06 08:00,2019-01-06 03:00,0,0,0,1.382
2019-01-06 09:00,2019-01-06 04:00,0,0,0,1.291
2019-01-06 10:00,2019-01-06 05:00,0,0,0,1.235
2019-01-06 11:00,2019-01-06 06:00,0,0,0,1.188
2019-01-06 12:00,2019-01-06 07:00,0.032,0.029,0.018,1.455
2019-01-06 13:00,2019-01-06 08:00,0.179,0.121,0.079,2.803
2019-01-06 14:00,2019-01-06 09:00,0.255,0.154,0.126,4.064
2019-01-06 15:00,2019-01-06 10:00,0.326,0.203,0.156,5.175
2019-01-06 16:00,2019-01-06 11:00,0.558,0.488,0.142,6.099
2019-01-06 17:00,2019-01-06 12:00,0.529,0.453,0.142,6.343
2019-01-06 18:00,2019-01-06 13:00,0.376,0.277,0.139,6.003
2019-01-06 19:00,2019-01-06 14:00,0.351,0.287,0.100,5.460
2019-01-06 20:00,2019-01-06 15:00,0.155,0.120,0.057,4.552
2019-01-06 21:00,2019-01-06 16:00,0.001,0.004,0.004,3.465
2019-01-06 22:00,2019-01-06 17:00,0,0,0,2.515
2019-01-06 23:00,2019-01-06 18:00,0,0,0,1.561
2019-01-07 00:00,2019-01-06 19:00,0,0,0,0.427
2019-01-07 01:00,2019-01-06 20:00,0,0,0,-0.546
2019-01-07 02:00,2019-01-06 21:00,0,0,0,-1.424
2019-01-07 03:00,2019-01-06 22:00,0,0,0,-2.247
2019-01-07 04:00,2019-01-06 23:00,0,0,0,-2.974
2019-01-07 05:00,2019-01-07 00:00,0,0,0,-3.663
2019-01-07 06:00,2019-01-07 01:00,0,0,0,-4.124
2019-01-07 07:00,2019-01-07 02:00,0,0,0,-4.445
2019-01-07 08:00,2019-01-07 03:00,0,0,0,-4.734
2019-01-07 09:00,2019-01-07 04:00,0,0,0,-5.001
2019-01-07 10:00,2019-01-07 05:00,0,0,0,-5.306
