# Renewables.ninja Weather (Point API) - 44.206, -70.754 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in America/New_York, swgdn in W/m²,,,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""America/New_York"""," ""swgdn"": ""W/m\u00b2""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""44.2057083"""," ""lon"": ""-70.75378387447887"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""var_t2m"": false"," ""var_prectotland"": false"," ""var_precsnoland"": false"," ""var_snomas"": false"," ""var_rhoa"": false"," ""var_swgdn"": true"," ""var_swtdn"": false"," ""var_cldtot"": false}}"
time,local_time,swgdn,,,,,,,,,,,,,,,
1/1/2019 0:00,12/31/2018 19:00,0,,,,,,,,,,,,,,,
1/1/2019 1:00,12/31/2018 20:00,0,,,,,,,,,,,,,,,
1/1/2019 2:00,12/31/2018 21:00,0,,,,,,,,,,,,,,,
1/1/2019 3:00,12/31/2018 22:00,0,,,,,,,,,,,,,,,
1/1/2019 4:00,12/31/2018 23:00,0,,,,,,,,,,,,,,,
1/1/2019 5:00,1/1/2019 0:00,0,,,,,,,,,,,,,,,
1/1/2019 6:00,1/1/2019 1:00,0,,,,,,,,,,,,,,,
1/1/2019 7:00,1/1/2019 2:00,0,,,,,,,,,,,,,,,
1/1/2019 8:00,1/1/2019 3:00,0,,,,,,,,,,,,,,,
1/1/2019 9:00,1/1/2019 4:00,0,,,,,,,,,,,,,,,
1/1/2019 10:00,1/1/2019 5:00,0,,,,,,,,,,,,,,,
1/1/2019 11:00,1/1/2019 6:00,0,,,,,,,,,,,,,,,
1/1/2019 12:00,1/1/2019 7:00,7.482,,,,,,,,,,,,,,,
1/1/2019 13:00,1/1/2019 8:00,97.009,,,,,,,,,,,,,,,
1/1/2019 14:00,1/1/2019 9:00,174.852,,,,,,,,,,,,,,,
1/1/2019 15:00,1/1/2019 10:00,255.222,,,,,,,,,,,,,,,
1/1/2019 16:00,1/1/2019 11:00,299.921,,,,,,,,,,,,,,,
1/1/2019 17:00,1/1/2019 12:00,307.107,,,,,,,,,,,,,,,
1/1/2019 18:00,1/1/2019 13:00,259.588,,,,,,,,,,,,,,,
1/1/2019 19:00,1/1/2019 14:00,170.232,,,,,,,,,,,,,,,
1/1/2019 20:00,1/1/2019 15:00,55.254,,,,,,,,,,,,,,,
1/1/2019 21:00,1/1/2019 16:00,0.186,,,,,,,,,,,,,,,
1/1/2019 22:00,1/1/2019 17:00,0,,,,,,,,,,,,,,,
1/1/2019 23:00,1/1/2019 18:00,0,,,,,,,,,,,,,,,
1/2/2019 0:00,1/1/2019 19:00,0,,,,,,,,,,,,,,,
1/2/2019 1:00,1/1/2019 20:00,0,,,,,,,,,,,,,,,
1/2/2019 2:00,1/1/2019 21:00,0,,,,,,,,,,,,,,,
1/2/2019 3:00,1/1/2019 22:00,0,,,,,,,,,,,,,,,
1/2/2019 4:00,1/1/2019 23:00,0,,,,,,,,,,,,,,,
1/2/2019 5:00,1/2/2019 0:00,0,,,,,,,,,,,,,,,
1/2/2019 6:00,1/2/2019 1:00,0,,,,,,,,,,,,,,,
1/2/2019 7:00,1/2/2019 2:00,0,,,,,,,,,,,,,,,
1/2/2019 8:00,1/2/2019 3:00,0,,,,,,,,,,,,,,,
1/2/2019 9:00,1/2/2019 4:00,0,,,,,,,,,,,,,,,
1/2/2019 10:00,1/2/2019 5:00,0,,,,,,,,,,,,,,,
1/2/2019 11:00,1/2/2019 6:00,0,,,,,,,,,,,,,,,
1/2/2019 12:00,1/2/2019 7:00,10.611,,,,,,,,,,,,,,,
1/2/2019 13:00,1/2/2019 8:00,97.025,,,,,,,,,,,,,,,
1/2/2019 14:00,1/2/2019 9:00,286.618,,,,,,,,,,,,,,,
1/2/2019 15:00,1/2/2019 10:00,380.048,,,,,,,,,,,,,,,
1/2/2019 16:00,1/2/2019 11:00,420.155,,,,,,,,,,,,,,,
1/2/2019 17:00,1/2/2019 12:00,403.696,,,,,,,,,,,,,,,
1/2/2019 18:00,1/2/2019 13:00,332.603,,,,,,,,,,,,,,,
1/2/2019 19:00,1/2/2019 14:00,215.038,,,,,,,,,,,,,,,
1/2/2019 20:00,1/2/2019 15:00,72.75,,,,,,,,,,,,,,,
